Date,Weekday,Time,Traffic
2014-01-01,4 ,0,581
2014-01-01,4 ,1,532
2014-01-01,4 ,2,465
2014-01-01,4 ,3,432
2014-01-01,4 ,4,297
2014-01-01,4 ,5,283
2014-01-01,4 ,6,264
2014-01-01,4 ,7,350
2014-01-01,4 ,8,458
2014-01-01,4 ,9,706
2014-01-01,4 ,10,968
2014-01-01,4 ,11,1268
2014-01-01,4 ,12,1595
2014-01-01,4 ,13,1699
2014-01-01,4 ,14,1958
2014-01-01,4 ,15,2084
2014-01-01,4 ,16,2259
2014-01-01,4 ,17,2204
2014-01-01,4 ,18,2000
2014-01-01,4 ,19,1617
2014-01-01,4 ,20,1362
2014-01-01,4 ,21,1128
2014-01-01,4 ,22,842
2014-01-01,4 ,23,585
2014-01-02,5 ,0,313
2014-01-02,5 ,1,235
2014-01-02,5 ,2,177
2014-01-02,5 ,3,201
2014-01-02,5 ,4,162
2014-01-02,5 ,5,360
2014-01-02,5 ,6,671
2014-01-02,5 ,7,1455
2014-01-02,5 ,8,1661
2014-01-02,5 ,9,1388
2014-01-02,5 ,10,1582
2014-01-02,5 ,11,1645
2014-01-02,5 ,12,1632
2014-01-02,5 ,13,1835
2014-01-02,5 ,14,2081
2014-01-02,5 ,15,2088
2014-01-02,5 ,16,2078
2014-01-02,5 ,17,2316
2014-01-02,5 ,18,2303
2014-01-02,5 ,19,1837
2014-01-02,5 ,20,1289
2014-01-02,5 ,21,1113
2014-01-02,5 ,22,756
2014-01-02,5 ,23,598
2014-01-03,6 ,0,426
2014-01-03,6 ,1,338
2014-01-03,6 ,2,260
2014-01-03,6 ,3,252
2014-01-03,6 ,4,226
2014-01-03,6 ,5,344
2014-01-03,6 ,6,699
2014-01-03,6 ,7,1316
2014-01-03,6 ,8,1746
2014-01-03,6 ,9,1675
2014-01-03,6 ,10,1716
2014-01-03,6 ,11,1736
2014-01-03,6 ,12,1656
2014-01-03,6 ,13,1870
2014-01-03,6 ,14,2151
2014-01-03,6 ,15,2132
2014-01-03,6 ,16,2290
2014-01-03,6 ,17,2284
2014-01-03,6 ,18,2296
2014-01-03,6 ,19,2036
2014-01-03,6 ,20,1513
2014-01-03,6 ,21,1296
2014-01-03,6 ,22,891
2014-01-03,6 ,23,714
2014-01-04,7 ,0,511
2014-01-04,7 ,1,483
2014-01-04,7 ,2,448
2014-01-04,7 ,3,450
2014-01-04,7 ,4,332
2014-01-04,7 ,5,325
2014-01-04,7 ,6,538
2014-01-04,7 ,7,845
2014-01-04,7 ,8,1225
2014-01-04,7 ,9,1346
2014-01-04,7 ,10,1598
2014-01-04,7 ,11,1830
2014-01-04,7 ,12,1920
2014-01-04,7 ,13,1946
2014-01-04,7 ,14,2024
2014-01-04,7 ,15,2186
2014-01-04,7 ,16,2333
2014-01-04,7 ,17,2373
2014-01-04,7 ,18,2223
2014-01-04,7 ,19,1554
2014-01-04,7 ,20,1250
2014-01-04,7 ,21,1151
2014-01-04,7 ,22,846
2014-01-04,7 ,23,650
2014-01-05,1 ,0,516
2014-01-05,1 ,1,426
2014-01-05,1 ,2,352
2014-01-05,1 ,3,348
2014-01-05,1 ,4,226
2014-01-05,1 ,5,198
2014-01-05,1 ,6,294
2014-01-05,1 ,7,380
2014-01-05,1 ,8,610
2014-01-05,1 ,9,908
2014-01-05,1 ,10,1259
2014-01-05,1 ,11,1313
2014-01-05,1 ,12,1586
2014-01-05,1 ,13,1868
2014-01-05,1 ,14,1961
2014-01-05,1 ,15,2182
2014-01-05,1 ,16,2227
2014-01-05,1 ,17,2230
2014-01-05,1 ,18,2030
2014-01-05,1 ,19,1563
2014-01-05,1 ,20,1212
2014-01-05,1 ,21,1064
2014-01-05,1 ,22,698
2014-01-05,1 ,23,535
2014-01-06,2 ,0,302
2014-01-06,2 ,1,239
2014-01-06,2 ,2,180
2014-01-06,2 ,3,165
2014-01-06,2 ,4,198
2014-01-06,2 ,5,363
2014-01-06,2 ,6,687
2014-01-06,2 ,7,1408
2014-01-06,2 ,8,1777
2014-01-06,2 ,9,1605
2014-01-06,2 ,10,1768
2014-01-06,2 ,11,1745
2014-01-06,2 ,12,1721
2014-01-06,2 ,13,1924
2014-01-06,2 ,14,2028
2014-01-06,2 ,15,2144
2014-01-06,2 ,16,2056
2014-01-06,2 ,17,2294
2014-01-06,2 ,18,2314
2014-01-06,2 ,19,1875
2014-01-06,2 ,20,1266
2014-01-06,2 ,21,1166
2014-01-06,2 ,22,779
2014-01-06,2 ,23,599
2014-01-07,3 ,0,389
2014-01-07,3 ,1,310
2014-01-07,3 ,2,250
2014-01-07,3 ,3,223
2014-01-07,3 ,4,221
2014-01-07,3 ,5,351
2014-01-07,3 ,6,686
2014-01-07,3 ,7,1380
2014-01-07,3 ,8,1709
2014-01-07,3 ,9,1693
2014-01-07,3 ,10,1746
2014-01-07,3 ,11,1754
2014-01-07,3 ,12,1710
2014-01-07,3 ,13,1867
2014-01-07,3 ,14,1983
2014-01-07,3 ,15,2132
2014-01-07,3 ,16,2219
2014-01-07,3 ,17,2391
2014-01-07,3 ,18,2300
2014-01-07,3 ,19,1898
2014-01-07,3 ,20,1404
2014-01-07,3 ,21,1206
2014-01-07,3 ,22,815
2014-01-07,3 ,23,660
2014-01-08,4 ,0,476
2014-01-08,4 ,1,302
2014-01-08,4 ,2,260
2014-01-08,4 ,3,247
2014-01-08,4 ,4,215
2014-01-08,4 ,5,337
2014-01-08,4 ,6,607
2014-01-08,4 ,7,1240
2014-01-08,4 ,8,1699
2014-01-08,4 ,9,1603
2014-01-08,4 ,10,1701
2014-01-08,4 ,11,1721
2014-01-08,4 ,12,1620
2014-01-08,4 ,13,1885
2014-01-08,4 ,14,1976
2014-01-08,4 ,15,2142
2014-01-08,4 ,16,2096
2014-01-08,4 ,17,2268
2014-01-08,4 ,18,2318
2014-01-08,4 ,19,1734
2014-01-08,4 ,20,1324
2014-01-08,4 ,21,1064
2014-01-08,4 ,22,837
2014-01-08,4 ,23,617
2014-01-09,5 ,0,378
2014-01-09,5 ,1,280
2014-01-09,5 ,2,236
2014-01-09,5 ,3,196
2014-01-09,5 ,4,209
2014-01-09,5 ,5,329
2014-01-09,5 ,6,676
2014-01-09,5 ,7,1344
2014-01-09,5 ,8,1723
2014-01-09,5 ,9,1570
2014-01-09,5 ,10,1640
2014-01-09,5 ,11,1623
2014-01-09,5 ,12,1616
2014-01-09,5 ,13,1810
2014-01-09,5 ,14,1944
2014-01-09,5 ,15,1989
2014-01-09,5 ,16,2058
2014-01-09,5 ,17,2235
2014-01-09,5 ,18,2402
2014-01-09,5 ,19,1697
2014-01-09,5 ,20,1247
2014-01-09,5 ,21,1216
2014-01-09,5 ,22,786
2014-01-09,5 ,23,545
2014-01-10,6 ,0,375
2014-01-10,6 ,1,283
2014-01-10,6 ,2,234
2014-01-10,6 ,3,193
2014-01-10,6 ,4,215
2014-01-10,6 ,5,327
2014-01-10,6 ,6,577
2014-01-10,6 ,7,1310
2014-01-10,6 ,8,1741
2014-01-10,6 ,9,1574
2014-01-10,6 ,10,1751
2014-01-10,6 ,11,1728
2014-01-10,6 ,12,1768
2014-01-10,6 ,13,1910
2014-01-10,6 ,14,2115
2014-01-10,6 ,15,2058
2014-01-10,6 ,16,2172
2014-01-10,6 ,17,2323
2014-01-10,6 ,18,2130
2014-01-10,6 ,19,2035
2014-01-10,6 ,20,1453
2014-01-10,6 ,21,1301
2014-01-10,6 ,22,930
2014-01-10,6 ,23,673
2014-01-11,7 ,0,560
2014-01-11,7 ,1,462
2014-01-11,7 ,2,444
2014-01-11,7 ,3,415
2014-01-11,7 ,4,404
2014-01-11,7 ,5,321
2014-01-11,7 ,6,489
2014-01-11,7 ,7,813
2014-01-11,7 ,8,1195
2014-01-11,7 ,9,1464
2014-01-11,7 ,10,1744
2014-01-11,7 ,11,1796
2014-01-11,7 ,12,1880
2014-01-11,7 ,13,1970
2014-01-11,7 ,14,2044
2014-01-11,7 ,15,2244
2014-01-11,7 ,16,2370
2014-01-11,7 ,17,2386
2014-01-11,7 ,18,2264
