ID,Year,M,D,H,1,2
0130-001,2011,01,01,01,378,359
0130-001,2011,01,01,02,351,378
0130-001,2011,01,01,03,245,223
0130-001,2011,01,01,04,194,164
0130-001,2011,01,01,05,158,156
0130-001,2011,01,01,06,199,180
0130-001,2011,01,01,07,297,258
0130-001,2011,01,01,08,356,335
0130-001,2011,01,01,09,490,437
0130-001,2011,01,01,10,600,535
0130-001,2011,01,01,11,777,705
0130-001,2011,01,01,12,910,897
0130-001,2011,01,01,13,1066,1095
0130-001,2011,01,01,14,984,956
0130-001,2011,01,01,15,1097,1159
0130-001,2011,01,01,16,1081,1076
0130-001,2011,01,01,17,1319,1228
0130-001,2011,01,01,18,1239,1280
0130-001,2011,01,01,19,892,979
0130-001,2011,01,01,20,613,693
0130-001,2011,01,01,21,654,759
0130-001,2011,01,01,22,537,605
0130-001,2011,01,01,23,406,430
0130-001,2011,01,01,24,286,313
0130-001,2011,01,02,01,230,246
0130-001,2011,01,02,02,162,169
0130-001,2011,01,02,03,108,130
0130-001,2011,01,02,04,80,79
0130-001,2011,01,02,05,78,106
0130-001,2011,01,02,06,105,141
0130-001,2011,01,02,07,209,217
0130-001,2011,01,02,08,256,269
0130-001,2011,01,02,09,460,489
0130-001,2011,01,02,10,607,581
0130-001,2011,01,02,11,669,791
0130-001,2011,01,02,12,720,799
0130-001,2011,01,02,13,971,1101
0130-001,2011,01,02,14,1161,1274
0130-001,2011,01,02,15,1222,1349
0130-001,2011,01,02,16,1282,1303
0130-001,2011,01,02,17,1128,1179
0130-001,2011,01,02,18,1117,1177
0130-001,2011,01,02,19,933,1009
0130-001,2011,01,02,20,937,950
0130-001,2011,01,02,21,766,874
0130-001,2011,01,02,22,624,657
0130-001,2011,01,02,23,361,406
0130-001,2011,01,02,24,308,322
0130-001,2011,01,03,01,209,199
0130-001,2011,01,03,02,139,152
0130-001,2011,01,03,03,93,111
0130-001,2011,01,03,04,81,92
0130-001,2011,01,03,05,102,104
0130-001,2011,01,03,06,237,241
0130-001,2011,01,03,07,630,674
0130-001,2011,01,03,08,1499,1546
0130-001,2011,01,03,09,1726,1772
0130-001,2011,01,03,10,1317,1300
