ID,Year,M,D,H,1,2,sum,sump
0131-002,2011,1,1,1,175,143,318,0
0131-002,2011,1,1,2,123,94,217,318
0131-002,2011,1,1,3,76,70,146,217
0131-002,2011,1,1,4,72,83,155,146
0131-002,2011,1,1,5,76,91,167,155
0131-002,2011,1,1,6,114,152,266,167
0131-002,2011,1,1,7,313,312,625,266
0131-002,2011,1,1,8,803,669,1472,625
0131-002,2011,1,1,9,895,917,1812,1472
0131-002,2011,1,1,10,692,754,1446,1812
0131-002,2011,1,1,11,676,708,1384,1446
0131-002,2011,1,1,12,693,689,1382,1384
0131-002,2011,1,1,13,675,686,1361,1382
0131-002,2011,1,1,14,722,795,1517,1361
0131-002,2011,1,1,15,855,907,1762,1517
0131-002,2011,1,1,16,880,933,1813,1762
0131-002,2011,1,1,17,789,830,1619,1813
0131-002,2011,1,1,18,840,977,1817,1619
0131-002,2011,1,1,19,837,1069,1906,1817
0131-002,2011,1,1,20,639,739,1378,1906
0131-002,2011,1,1,21,515,596,1111,1378
0131-002,2011,1,1,22,455,454,909,1111
0131-002,2011,1,1,23,350,281,631,909
0131-002,2011,1,1,24,224,188,412,631
0131-002,2011,1,2,1,143,91,234,412
0131-002,2011,1,2,2,88,67,155,234
0131-002,2011,1,2,3,65,50,115,155
0131-002,2011,1,2,4,44,37,81,115
0131-002,2011,1,2,5,57,57,114,81
0131-002,2011,1,2,6,88,92,180,114
0131-002,2011,1,2,7,238,183,421,180
0131-002,2011,1,2,8,541,383,924,421
0131-002,2011,1,2,9,621,513,1134,924
0131-002,2011,1,2,10,520,467,987,1134
0131-002,2011,1,2,11,548,440,988,987
0131-002,2011,1,2,12,515,409,924,988
0131-002,2011,1,2,13,467,414,881,924
0131-002,2011,1,2,14,550,485,1035,881
0131-002,2011,1,2,15,583,479,1062,1035
0131-002,2011,1,2,16,556,449,1005,1062
0131-002,2011,1,2,17,587,517,1104,1005
0131-002,2011,1,2,18,630,590,1220,1104
0131-002,2011,1,2,19,634,638,1272,1220
0131-002,2011,1,2,20,473,424,897,1272
0131-002,2011,1,2,21,420,389,809,897
0131-002,2011,1,2,22,433,366,799,809
0131-002,2011,1,2,23,317,213,530,799
0131-002,2011,1,2,24,212,147,359,530
0131-002,2011,1,3,1,129,101,230,359
0131-002,2011,1,3,2,88,69,157,230
0131-002,2011,1,3,3,64,55,119,157
0131-002,2011,1,3,4,52,56,108,119
0131-002,2011,1,3,5,60,69,129,108
0131-002,2011,1,3,6,83,123,206,129
0131-002,2011,1,3,7,255,243,498,206
0131-002,2011,1,3,8,565,462,1027,498
0131-002,2011,1,3,9,640,635,1275,1027
0131-002,2011,1,3,10,537,560,1097,1275
0131-002,2011,1,3,11,577,581,1158,1097
0131-002,2011,1,3,12,554,566,1120,1158
0131-002,2011,1,3,13,479,494,973,1120
0131-002,2011,1,3,14,560,556,1116,973
0131-002,2011,1,3,15,593,610,1203,1116
0131-002,2011,1,3,16,627,639,1266,1203
0131-002,2011,1,3,17,608,677,1285,1266
0131-002,2011,1,3,18,645,734,1379,1285
0131-002,2011,1,3,19,638,726,1364,1379
0131-002,2011,1,3,20,514,580,1094,1364
0131-002,2011,1,3,21,398,425,823,1094
0131-002,2011,1,3,22,388,409,797,823
0131-002,2011,1,3,23,291,234,525,797
0131-002,2011,1,3,24,203,160,363,525
0131-002,2011,1,4,1,170,123,293,363
0131-002,2011,1,4,2,126,108,234,293
0131-002,2011,1,4,3,90,74,164,234
0131-002,2011,1,4,4,69,64,133,164
0131-002,2011,1,4,5,77,79,156,133
0131-002,2011,1,4,6,99,124,223,156
0131-002,2011,1,4,7,220,210,430,223
0131-002,2011,1,4,8,482,409,891,430
0131-002,2011,1,4,9,619,563,1182,891
0131-002,2011,1,4,10,528,541,1069,1182
0131-002,2011,1,4,11,586,586,1172,1069
0131-002,2011,1,4,12,698,735,1433,1172
0131-002,2011,1,4,13,756,913,1669,1433
0131-002,2011,1,4,14,768,969,1737,1669
0131-002,2011,1,4,15,771,846,1617,1737
0131-002,2011,1,4,16,663,737,1400,1617
0131-002,2011,1,4,17,647,723,1370,1400
0131-002,2011,1,4,18,646,581,1227,1370
0131-002,2011,1,4,19,632,767,1399,1227
0131-002,2011,1,4,20,549,587,1136,1399
0131-002,2011,1,4,21,464,451,915,1136
0131-002,2011,1,4,22,394,381,775,915
0131-002,2011,1,4,23,292,226,518,775
0131-002,2011,1,4,24,221,163,384,518
0131-002,2011,1,5,1,247,226,473,384
0131-002,2011,1,5,2,155,151,306,473
0131-002,2011,1,5,3,145,153,298,306
0131-002,2011,1,5,4,102,117,219,298
0131-002,2011,1,5,5,91,83,174,219
0131-002,2011,1,5,6,102,161,263,174
0131-002,2011,1,5,7,203,228,431,263
0131-002,2011,1,5,8,281,423,704,431
0131-002,2011,1,5,9,412,599,1011,704
